Pays,Annees,PerCapita,Mesures,Date de mise en place,temperature
Algeria,2014,3.73580277736793,2,0,1.231
Algeria,2015,3.854556575616332,2,0,1.537
Algeria,2016,3.699155989765484,2,0,1.505
Angola,1960,0.1008353356494021,5,0,0.195
Angola,1961,0.08220379674705033,5,0,-0.020
Angola,1962,0.2105314770923408,5,0,0.005
Angola,1963,0.2027373034539564,5,0,0.050
Angola,1964,0.2135603493190288,5,0,-0.310
Angola,1965,0.2058909258530786,5,0,0.031
Angola,1966,0.2689414368677582,5,0,0.112
Angola,1967,0.1721016936765564,5,0,-0.194
Angola,1968,0.2897180911115223,5,0,0.135
Angola,1969,0.4802340204306067,5,0,0.176
Angola,1970,0.6082235990469181,5,0,-0.045
Angola,1971,0.5645482360961182,5,0,-0.245
Angola,1972,0.7212459782682453,5,0,0.475
Angola,1973,0.7512398871965081,5,0,-0.044
Angola,1974,0.7207763799697695,5,0,-0.120
Angola,1975,0.6285689066059227,5,0,-0.271
Angola,1976,0.4513535184859309,5,0,-0.035
Angola,1977,0.4692211764815194,5,0,0.046
Angola,1978,0.6947369474939823,5,0,0.244
Angola,1979,0.683062947974992,5,0,0.291
Angola,1980,0.6409664021951522,5,0,0.219
Angola,1981,0.6111351196454442,5,0,0.264
Angola,1982,0.5193546261288179,5,0,0.569
Angola,1983,0.5513485741039972,5,0,0.555
Angola,1984,0.520982856139637,5,0,0.487
Angola,1985,0.47190277210483,5,0,0.444
Angola,1986,0.4516188827813964,5,0,0.640
Angola,1987,0.5440851322590453,5,0,0.802
Angola,1988,0.4635082964027087,5,0,0.380
Angola,1989,0.4372954619718918,5,0,0.726
Angola,1990,0.4317436146999262,5,0,0.717
Angola,1991,0.4155308300720204,5,0,0.438
Angola,1992,0.4105229318643389,5,0,0.626
Angola,1993,0.4417210979477017,5,0,0.489
Angola,1994,0.2881190679890552,5,0,0.768
Angola,1995,0.7870325472424,5,0,0.861
Angola,1996,0.7262334609820523,5,0,0.310
Angola,1997,0.4963612449795146,5,0,1.415
Angola,1998,0.4758151595213965,5,0,1.011
Angola,1999,0.5770829140897299,5,0,0.662
Angola,2000,0.5819614963227959,5,0,0.859
Angola,2001,0.5743160542939579,5,0,0.973
Angola,2002,0.7229588747159793,5,0,1.065
Angola,2003,0.500225395509936,5,0,0.904
Angola,2004,1.0018781174791,5,0,1.125
Angola,2005,0.9857363549999635,5,0,0.960
Angola,2006,1.10501902714063,5,0,1.190
Angola,2007,1.203133999634448,5,0,0.865
Angola,2008,1.185000493647708,5,0,1.021
Angola,2009,1.234425074467179,5,0,1.042
Angola,2010,1.244091537655495,5,0,0.785
Angola,2011,1.262824619030835,5,0,0.270
Angola,2012,1.361181054703392,5,0,1.004
Angola,2013,1.295075373484862,5,0,0.975
Angola,2014,1.664740735940266,5,0,0.978
Angola,2015,1.240245462145995,5,0,1.591
Angola,2016,1.20286057885999,5,0,1.165
Argentina,1960,2.383342970354284,4,0,-0.083
Argentina,1961,2.458551425533017,4,0,0.166
Argentina,1962,2.538446036061369,4,0,0.279
Argentina,1963,2.330685052830967,4,0,-0.291
Argentina,1964,2.553441797435672,4,0,-0.076
Argentina,1965,2.656465738402908,4,0,-0.002
Argentina,1966,2.806895516967054,4,0,-0.191
Argentina,1967,2.871099658944996,4,0,0.115
Argentina,1968,2.981777316361211,4,0,0.652
Argentina,1969,3.288161199706892,4,0,0.491
Argentina,1970,3.464527236190138,4,0,-0.570
Argentina,1971,3.66615941648738,4,0,0.610
Argentina,1972,3.657008154122136,4,0,-0.088
Argentina,1973,3.754154274994275,4,0,-0.325
Argentina,1974,3.753366604480616,4,0,0.208
Argentina,1975,3.670150704158267,4,0,-0.343
Argentina,1976,3.799261982279548,4,0,0.128
Argentina,1977,3.780415490590554,4,0,0.474
Argentina,1978,3.792880962809754,4,0,0.408
Argentina,1979,4.029810269987633,4,0,0.521
Argentina,1980,3.897888332196752,4,0,0.341
Argentina,1981,3.600810028330701,4,0,0.413
Argentina,1982,3.591793418670784,4,0,0.240
Argentina,1983,3.595564042392523,4,0,-0.025
Argentina,1984,3.582148497164804,4,0,0.061
Argentina,1985,3.329225646877301,4,0,0.541
Argentina,1986,3.394657650336343,4,0,0.530
Argentina,1987,3.685883317035128,4,0,0.115
Argentina,1988,3.835714345935509,4,0,0.532
Argentina,1989,3.642232454300458,4,0,0.291
Argentina,1990,3.438151412208923,4,0,0.650
Argentina,1991,3.539959218839747,4,0,0.030
Argentina,1992,3.619280357738178,4,0,-0.118
Argentina,1993,3.471494485254994,4,0,0.340
Argentina,1994,3.558099411580589,4,0,0.417
Argentina,1995,3.67414170770385,4,0,0.289
Argentina,1996,3.830198391471418,4,0,0.733
Argentina,1997,3.870270007408554,4,0,0.404
Argentina,1998,3.87692639244616,4,0,0.342
Argentina,1999,4.030588815412242,4,0,0.277
Argentina,2000,3.854991947961404,4,0,0.035
Argentina,2001,3.587350316501506,4,0,0.213
Argentina,2002,3.309683687983803,4,0,0.648
Argentina,2003,3.546088323977598,4,0,0.534
Argentina,2004,4.094082916822241,4,0,0.384
Argentina,2005,4.168128547575908,4,0,0.277
Argentina,2006,4.465186020684514,4,0,0.336
Argentina,2007,4.414246416624007,4,0,-0.002
Argentina,2008,4.718224428245795,4,0,1.091
Argentina,2009,4.44538780283611,4,0,0.380
Argentina,2010,4.606804136454992,4,0,0.096
Argentina,2011,4.644106453741734,4,0,0.672
Argentina,2012,4.62525961600278,4,0,0.689
Argentina,2013,4.589774170919629,4,0,0.469
Argentina,2014,4.588229601940496,4,0,1.337
Argentina,2015,4.6640107478523,4,0,0.410
Argentina,2016,4.619085482370784,4,0,0.883
Australia,1960,8.582936642586754,4,2016,-0.111
Australia,1961,8.64156901650291,4,2016,0.125
Australia,1962,8.835688046918637,4,2016,-0.000
Australia,1963,9.226439908675799,4,2016,0.040
Australia,1964,9.759073430643861,4,2016,0.091
Australia,1965,10.62232139093783,4,2016,0.139
Australia,1966,10.3280924384173,4,2016,-0.427
Australia,1967,10.95562479871175,4,2016,0.087
Australia,1968,11.21016770755267,4,2016,-0.242
Australia,1969,11.6005543504852,4,2016,0.197
Australia,1970,11.80289054129687,4,2016,-0.103
Australia,1971,11.80911756976115,4,2016,-0.140
Australia,1972,11.95163155498217,4,2016,0.803
Australia,1973,12.77968684603886,4,2016,-0.003
Australia,1974,12.55966873132697,4,2016,-0.322
Australia,1975,12.65989980565753,4,2016,-0.268
Australia,1976,12.41679177652676,4,2016,-0.211
Australia,1977,13.23189613866967,4,2016,0.355
Australia,1978,14.06985861540604,4,2016,-0.095
Australia,1979,14.12909198015709,4,2016,0.711
Australia,1980,15.02491600871222,4,2016,0.649
Australia,1981,15.43250083740872,4,2016,0.220
Australia,1982,15.42493180919752,4,2016,0.479
Australia,1983,14.64008413039235,4,2016,0.158
Australia,1984,15.22097529593412,4,2016,0.174
Australia,1985,15.30841020434065,4,2016,0.498
Australia,1986,14.98057315337362,4,2016,0.088
Australia,1987,15.74695780224915,4,2016,0.691
Australia,1988,15.79616778166245,4,2016,0.580
Australia,1989,16.51986291512037,4,2016,0.264
Australia,1990,15.45288167077837,4,2016,0.832
Australia,1991,15.12796621152511,4,2016,0.636
Australia,1992,15.31776850528722,4,2016,0.227
Australia,1993,15.70145180279617,4,2016,0.296
Australia,1994,15.5765862783534,4,2016,0.199
Australia,1995,15.59651881363435,4,2016,0.632
Australia,1996,16.50180039320627,4,2016,0.423
Australia,1997,16.51427320840309,4,2016,0.915
Australia,1998,16.93569584736251,4,2016,0.689
Australia,1999,17.19029768572335,4,2016,-0.040
Australia,2000,17.2006098261369,4,2016,0.426
Australia,2001,16.73336743419358,4,2016,0.311
Australia,2002,17.37045177442828,4,2016,0.902
Australia,2003,16.90195894528383,4,2016,0.746
Australia,2004,17.02651534723809,4,2016,0.967
Australia,2005,17.16971144605488,4,2016,0.606
Australia,2006,17.65139830610835,4,2016,0.936
Australia,2007,17.86526003956289,4,2016,0.723
