Year,Month,monthly_anomaly,monthly_uncertainty,annual_anomaly,annual_uncertainty,five_year_anomaly,five_year_uncertainty,ten_year_anomaly,ten_year_uncertainty,twenty_year_anomaly,twenty_year_uncertainty
1816,8,-1.445,1.580,-2.151,1.335,-1.412,0.769,-1.277,0.669,-1.026,0.659
1816,9,-2.229,1.732,-2.040,1.306,-1.452,0.806,-1.280,0.683,-1.026,0.664
1816,10,-2.697,4.578,-2.004,1.276,-1.472,0.784,-1.292,0.673,-1.024,0.662
1816,11,-1.989,4.238,-2.024,1.295,-1.494,0.812,-1.287,0.658,-1.020,0.661
1816,12,-0.256,2.728,-2.050,1.283,-1.473,0.813,-1.300,0.658,-1.016,0.665
1817,1,-2.387,3.436,-1.982,1.398,-1.448,0.806,-1.295,0.672,-1.009,0.665
1817,2,-3.767,4.568,-1.900,1.379,-1.429,0.805,-1.267,0.661,-1.003,0.665
1817,3,-1.978,3.308,-1.837,1.492,-1.392,0.759,-1.229,0.644,-0.994,0.659
1817,4,-0.764,2.637,-1.882,1.453,-1.395,0.712,-1.227,0.640,-0.981,0.665
1817,5,-1.493,1.911,-1.812,1.401,-1.412,0.703,-1.198,0.648,-0.973,0.660
1817,6,-2.830,1.959,-1.853,1.553,-1.441,0.692,-1.182,0.658,-0.969,0.648
1817,7,-1.947,2.707,-1.823,1.454,-1.459,0.690,-1.171,0.661,-0.971,0.641
1817,8,-0.468,1.440,-1.887,1.650,-1.405,0.721,-1.167,0.663,-0.972,0.647
1817,9,-1.461,2.841,-1.780,1.591,-1.418,0.719,-1.149,0.666,-0.970,0.647
1817,10,-3.244,3.740,-1.828,1.226,-1.384,0.725,-1.151,0.658,-0.969,0.646
1817,11,-1.147,2.111,-1.778,1.177,-1.359,0.737,-1.140,0.658,-0.976,0.645
1817,12,-0.746,4.016,-1.412,1.122,-1.323,0.738,-1.152,0.641,-0.988,0.653
1818,1,-2.029,2.057,-1.226,1.069,-1.321,0.758,-1.132,0.647,-0.976,0.667
1818,2,-4.535,2.518,-1.264,1.182,-1.309,0.769,-1.152,0.657,-0.964,0.663
1818,3,-0.699,2.253,-1.296,1.124,-1.276,0.793,-1.135,0.658,-0.961,0.657
1818,4,-1.340,1.389,-1.179,0.993,-1.264,0.778,-1.139,0.659,-0.965,0.662
1818,5,-0.887,6.280,-1.084,0.850,-1.265,0.766,-1.144,0.669,-0.956,0.664
1818,6,1.560,6.455,-1.212,0.819,-1.288,0.749,-1.144,0.662,-0.952,0.673
1818,7,0.286,2.668,-0.981,0.693,-1.321,0.745,-1.129,0.649,-0.953,0.671
1818,8,-0.923,2.555,-0.509,0.650,-1.246,0.679,-1.129,0.650,-0.943,0.671
1818,9,-1.842,2.069,-0.857,0.681,-1.212,0.654,-1.153,0.639,-0.941,0.673
1818,10,-1.843,4.231,-0.893,1.135,-1.234,0.648,-1.159,0.634,-0.939,0.664
1818,11,-0.016,1.995,-0.913,0.906,-1.227,0.657,-1.185,0.616,-0.934,0.659
1818,12,-2.271,1.973,-1.016,0.780,-1.179,0.675,-1.177,0.612,-0.932,0.649
1819,1,0.743,2.347,-1.054,0.922,-1.140,0.691,-1.157,0.609,-0.928,0.640
1819,2,1.123,3.943,-0.972,1.184,-1.106,0.701,-1.167,0.601,-0.927,0.636
1819,3,-4.877,4.807,-0.688,1.110,-1.075,0.725,-1.159,0.610,-0.925,0.633
1819,4,-1.764,2.360,-0.678,0.801,-1.064,0.715,-1.157,0.605,-0.923,0.631
1819,5,-1.129,3.187,-0.789,0.808,-1.058,0.692,-1.176,0.596,-0.911,0.629
1819,6,0.321,4.164,-0.681,0.714,-1.079,0.681,-1.175,0.603,-0.910,0.626
1819,7,-0.166,1.958,-0.985,0.752,-1.084,0.684,-1.163,0.597,-0.908,0.620
1819,8,0.055,2.496,-0.952,0.863,-1.014,0.650,-1.161,0.601,-0.908,0.614
1819,9,1.561,2.771,-0.701,0.919,-0.969,0.620,-1.154,0.611,-0.915,0.610
1819,10,-1.717,2.142,-0.522,0.975,-0.987,0.586,-1.162,0.604,-0.923,0.611
1819,11,-1.346,1.738,-0.481,0.916,-0.956,0.590,-1.186,0.605,-0.919,0.604
1819,12,-0.972,2.297,-0.450,1.010,-0.906,0.603,-1.180,0.597,-0.910,0.603
1820,1,-2.906,3.834,-0.322,1.079,-0.869,0.598,-1.167,0.595,-0.916,0.587
1820,2,1.513,3.175,-0.346,1.226,-0.864,0.616,-1.149,0.603,-0.923,0.576
1820,3,-1.861,2.382,-0.406,1.361,-0.830,0.628,-1.129,0.611,-0.919,0.573
1820,4,0.386,2.407,-0.429,1.271,-0.812,0.604,-1.106,0.617,-0.905,0.575
1820,5,-0.642,1.901,-0.601,1.248,-0.822,0.594,-1.088,0.612,-0.907,0.571
1820,6,0.694,1.594,-0.774,1.137,-0.842,0.573,-1.064,0.604,-0.911,0.563
1820,7,1.374,1.925,-0.796,0.845,-0.811,0.572,-1.059,0.614,-0.900,0.551
1820,8,-0.236,2.666,-0.734,0.754,-0.795,0.590,-1.046,0.623,-0.900,0.551
1820,9,0.836,2.509,-0.682,0.788,-0.816,0.619,-1.042,0.633,-0.905,0.550
1820,10,-1.985,1.793,-0.924,0.813,-0.807,0.631,-1.027,0.631,-0.899,0.551
1820,11,-3.414,1.714,-0.938,0.799,-0.821,0.624,-1.017,0.622,-0.877,0.549
1820,12,-3.051,2.306,-0.967,0.848,-0.858,0.619,-0.998,0.623,-0.859,0.550
1821,1,-3.169,3.423,-1.119,0.844,-0.849,0.602,-0.984,0.643,-0.858,0.556
1821,2,2.260,4.200,-1.048,0.757,-0.835,0.602,-0.971,0.649,-0.847,0.570
1821,3,-1.242,3.454,-1.147,0.843,-0.832,0.604,-0.947,0.637,-0.838,0.581
1821,4,-2.515,2.157,-1.151,0.897,-0.842,0.603,-0.953,0.632,-0.830,0.584
1821,5,-0.807,3.051,-1.005,0.895,-0.915,0.600,-0.922,0.634,-0.822,0.578
1821,6,0.340,2.939,-0.875,0.987,-0.876,0.609,-0.896,0.616,-0.815,0.569
1821,7,-0.446,3.001,-0.834,1.258,-0.880,0.607,-0.864,0.620,-0.808,0.560
1821,8,0.613,1.729,-0.986,1.288,-0.922,0.604,-0.845,0.626,-0.801,0.555
1821,9,-0.350,3.045,-0.824,1.303,-0.866,0.608,-0.823,0.625,-0.802,0.554
1821,10,-2.029,1.948,-0.770,1.205,-0.841,0.608,-0.807,0.619,-0.801,0.554
1821,11,-1.662,2.071,-0.669,1.145,-0.858,0.612,-0.800,0.630,-0.793,0.560
1821,12,-1.491,1.918,-0.686,1.116,-0.877,0.621,-0.790,0.620,-0.816,0.562
1822,1,-2.678,2.723,-0.627,1.147,-0.877,0.612,-0.778,0.611,-0.797,0.565
1822,2,0.431,1.552,-0.689,1.150,-0.893,0.625,-0.746,0.601,-0.795,0.564
1822,3,0.711,3.471,-0.615,1.120,-0.916,0.646,-0.734,0.601,-0.780,0.567
1822,4,-1.866,2.753,-0.622,1.156,-0.928,0.653,-0.716,0.599,-0.782,0.565
1822,5,0.397,1.731,-0.630,1.150,-0.960,0.671,-0.701,0.595,-0.777,0.565
1822,6,0.144,2.160,-0.670,1.163,-0.919,0.675,-0.680,0.586,-0.776,0.560
1822,7,0.260,1.583,-0.459,1.122,-0.875,0.697,-0.660,0.575,-0.777,0.557
1822,8,-0.133,1.638,-0.792,1.190,-0.892,0.743,-0.659,0.584,-0.774,0.552
1822,9,0.542,1.958,-1.018,1.197,-0.840,0.755,-0.645,0.585,-0.768,0.554
1822,10,-2.124,1.613,-0.928,1.332,-0.829,0.771,-0.620,0.575,-0.762,0.551
1822,11,-1.750,1.680,-1.106,1.348,-0.818,0.766,-0.644,0.566,-0.756,0.550
1822,12,-1.973,2.300,-1.170,1.293,-0.805,0.768,-0.638,0.565,-0.757,0.552
1823,1,-0.149,1.695,-1.122,1.232,-0.796,0.773,-0.613,0.572,-0.742,0.560
1823,2,-3.560,2.319,-1.122,1.224,-0.783,0.764,-0.548,0.568,-0.749,0.561
1823,3,-1.997,2.215,-1.303,1.135,-0.808,0.779,-0.539,0.579,-0.740,0.566
1823,4,-0.788,3.048,-1.329,1.143,-0.791,0.784,-0.540,0.527,-0.735,0.564
1823,5,-1.741,2.144,-1.552,1.044,-0.769,0.784,-0.531,0.534,-0.728,0.562
1823,6,-0.630,2.270,-1.382,0.943,-0.708,0.791,-0.534,0.550,-0.738,0.562
1823,7,0.835,0.980,-1.327,0.831,-0.647,0.808,-0.539,0.541,-0.739,0.557
1823,8,-0.123,1.508,-1.148,0.819,-0.696,0.831,-0.521,0.540,-0.746,0.557
1823,9,-1.631,1.405,-1.106,0.779,-0.682,0.859,-0.505,0.546,-0.756,0.552
1823,10,-2.441,1.742,-1.064,0.665,-0.671,0.838,-0.502,0.539,-0.755,0.552
1823,11,-4.422,2.500,-1.095,0.719,-0.617,0.821,-0.508,0.542,-0.757,0.553
1823,12,0.064,1.180,-1.111,0.712,-0.613,0.772,-0.482,0.537,-0.745,0.556
1824,1,0.513,1.458,-1.197,0.713,-0.588,0.764,-0.502,0.537,-0.743,0.562
1824,2,-1.415,3.231,-1.260,0.751,-0.583,0.760,-0.529,0.542,-0.729,0.565
1824,3,-1.491,1.592,-1.107,0.749,-0.571,0.736,-0.503,0.539,-0.719,0.560
1824,4,-0.288,1.501,-1.109,0.793,-0.551,0.731,-0.490,0.544,-0.713,0.561
1824,5,-2.106,1.307,-1.015,0.807,-0.542,0.724,-0.464,0.554,-0.719,0.557
1824,6,-0.830,2.022,-0.896,0.762,-0.501,0.701,-0.469,0.561,-0.722,0.555
1824,7,-0.196,1.674,-0.961,0.743,-0.472,0.682,-0.482,0.557,-0.711,0.547
1824,8,-0.874,1.588,-0.801,0.795,-0.479,0.674,-0.491,0.558,-0.709,0.545
1824,9,0.200,3.586,-0.572,0.785,-0.499,0.663,-0.532,0.554,-0.703,0.539
1824,10,-2.468,1.196,-0.458,0.825,-0.445,0.675,-0.527,0.555,-0.707,0.539
1824,11,-3.285,1.182,-0.284,0.812,-0.447,0.649,-0.542,0.554,-0.713,0.539
1824,12,1.486,1.947,-0.092,0.746,-0.454,0.605,-0.506,0.561,-0.728,0.538
1825,1,-0.266,2.050,0.086,0.848,-0.450,0.585,-0.505,0.561,-0.716,0.542
1825,2,0.510,1.717,0.205,0.943,-0.455,0.587,-0.527,0.579,-0.718,0.535
1825,3,1.247,1.956,0.131,0.870,-0.460,0.580,-0.515,0.579,-0.720,0.542
1825,4,1.087,1.419,0.256,0.883,-0.427,0.577,-0.493,0.588,-0.722,0.541
1825,5,-0.018,1.290,0.358,0.884,-0.467,0.575,-0.495,0.586,-0.719,0.538
1825,6,1.473,1.480,0.281,0.941,-0.434,0.579,-0.513,0.584,-0.718,0.537
1825,7,1.934,2.434,0.346,0.980,-0.415,0.583,-0.515,0.578,-0.727,0.533
1825,8,0.561,2.841,0.248,0.975,-0.302,0.568,-0.521,0.569,-0.729,0.532
1825,9,-0.687,2.516,0.109,0.946,-0.262,0.565,-0.542,0.572,-0.732,0.532
1825,10,-0.968,1.426,-0.138,0.916,-0.273,0.567,-0.525,0.578,-0.720,0.531
1825,11,-2.058,2.776,0.070,0.986,-0.240,0.570,-0.476,0.583,-0.718,0.526
1825,12,0.560,1.503,-0.004,0.919,-0.210,0.585,-0.421,0.594,-0.727,0.517
1826,1,0.510,1.708,-0.077,0.896,-0.230,0.582,-0.404,0.609,-0.720,0.519
1826,2,-0.659,2.364,-0.051,0.841,-0.207,0.572,-0.421,0.638,-0.726,0.522
1826,3,-0.423,1.866,0.038,0.719,-0.178,0.572,-0.391,0.653,-0.726,0.513
1826,4,-1.876,2.158,0.051,0.694,-0.161,0.570,-0.365,0.650,-0.732,0.515
1826,5,2.471,1.432,0.130,0.884,-0.101,0.585,-0.350,0.639,-0.733,0.516
1826,6,0.584,2.063,0.160,0.798,-0.087,0.564,-0.338,0.622,-0.727,0.517
1826,7,1.060,2.229,0.043,0.872,-0.123,0.563,-0.330,0.615,-0.716,0.512
1826,8,0.871,2.349,0.099,0.720,-0.136,0.586,-0.326,0.617,-0.721,0.508
1826,9,0.379,1.377,0.092,0.624,-0.139,0.578,-0.325,0.607,-0.717,0.510
1826,10,-0.806,1.213,0.363,0.684,-0.139,0.588,-0.311,0.605,-0.724,0.508
1826,11,-1.110,1.729,0.180,0.760,-0.071,0.608,-0.299,0.612,-0.727,0.522
1826,12,0.917,1.649,0.110,0.756,-0.061,0.598,-0.332,0.602,-0.729,0.519
1827,1,-0.892,2.606,0.059,0.778,-0.086,0.592,-0.298,0.596,-0.725,0.524
1827,2,0.012,2.784,-0.047,0.788,-0.090,0.587,-0.324,0.595,-0.714,0.537
1827,3,-0.508,1.578,-0.058,0.838,-0.149,0.554,-0.330,0.601,-0.715,0.546
1827,4,1.380,2.727,-0.006,0.936,-0.126,0.552,-0.338,0.594,-0.722,0.545
1827,5,0.275,1.870,-0.256,0.937,-0.123,0.539,-0.355,0.584,-0.727,0.545
1827,6,-0.261,2.250,-0.335,0.865,-0.092,0.548,-0.371,0.564,-0.721,0.547
1827,7,0.451,0.991,-0.177,0.700,-0.135,0.541,-0.383,0.563,-0.724,0.541
1827,8,-0.395,2.251,0.093,0.643,-0.162,0.540,-0.381,0.560,-0.731,0.541
1827,9,0.245,1.441,0.169,0.720,-0.190,0.534,-0.387,0.562,-0.728,0.540
1827,10,-0.180,1.320,-0.066,0.722,-0.158,0.540,-0.372,0.562,-0.729,0.533
1827,11,-4.119,1.410,-0.071,0.798,-0.172,0.545,-0.371,0.560,-0.736,0.534
1827,12,-0.028,2.345,0.047,1.033,-0.221,0.547,-0.362,0.566,-0.736,0.527
1828,1,1.007,2.280,-0.019,1.063,-0.235,0.549,-0.353,0.569,-0.718,0.534
1828,2,3.246,2.965,0.119,1.018,-0.258,0.539,-0.347,0.556,-0.714,0.540
1828,3,0.407,1.824,0.106,1.014,-0.276,0.539,-0.345,0.557,-0.706,0.553
1828,4,-1.440,2.499,0.001,0.980,-0.259,0.546,-0.332,0.546,-0.716,0.505
1828,5,0.209,2.133,0.278,0.973,-0.183,0.562,-0.312,0.534,-0.720,0.503
1828,6,1.166,2.439,0.353,1.058,-0.134,0.572,-0.333,0.526,-0.723,0.502
1828,7,-0.347,1.341,0.134,1.060,-0.160,0.569,-0.350,0.526,-0.723,0.494
1828,8,1.260,1.776,-0.320,1.008,-0.146,0.584,-0.362,0.527,-0.723,0.490
1828,9,0.086,1.344,-0.494,0.959,-0.100,0.579,-0.359,0.527,-0.717,0.494
1828,10,-1.432,1.359,-0.395,0.975,-0.060,0.585,-0.351,0.533,-0.719,0.496
1828,11,-0.803,1.494,-0.250,0.968,-0.083,0.589,-0.328,0.547,-0.736,0.504
1828,12,0.874,3.511,-0.365,0.908,-0.063,0.599,-0.313,0.551,-0.739,0.508
1829,1,-1.618,1.862,-0.480,0.814,-0.072,0.602,-0.330,0.558,-0.741,0.513
1829,2,-2.201,2.192,-0.674,0.766,-0.069,0.622,-0.290,0.573,-0.739,0.517
1829,3,-1.677,1.083,-0.963,0.762,-0.079,0.633,-0.278,0.562,-0.723,0.521
1829,4,-0.251,1.508,-0.931,0.800,-0.071,0.638,-0.270,0.569,-0.709,0.521
1829,5,1.945,2.057,-1.124,0.746,-0.056,0.657,-0.263,0.564,-0.711,0.523
1829,6,-0.211,1.306,-0.917,0.673,-0.162,0.627,-0.269,0.556,-0.723,0.529
1829,7,-1.731,1.638,-1.019,0.682,-0.125,0.619,-0.259,0.548,-0.721,0.530
1829,8,-1.067,1.031,-0.931,0.682,-0.169,0.610,-0.256,0.544,-0.720,0.535
1829,9,-3.382,0.865,-0.826,0.726,-0.162,0.620,-0.252,0.522,-0.730,0.536
1829,10,-1.047,0.931,-0.556,0.678,-0.231,0.588,-0.253,0.526,-0.725,0.537
1829,11,-3.123,1.274,-0.791,0.663,-0.263,0.599,-0.240,0.529,-0.728,0.542
1829,12,3.354,2.360,-0.893,0.768,-0.288,0.619,-0.275,0.529,-0.713,0.549
1830,1,-2.839,2.918,-0.658,0.987,-0.315,0.647,-0.265,0.537,-0.712,0.557
1830,2,-1.146,2.347,-0.639,0.893,-0.307,0.651,-0.286,0.522,-0.707,0.565
1830,3,-0.418,1.201,-0.504,0.904,-0.315,0.671,-0.311,0.517,-0.699,0.569
1830,4,2.996,1.841,-0.410,0.861,-0.316,0.672,-0.337,0.515,-0.698,0.567
1830,5,-0.879,1.476,0.058,0.846,-0.276,0.683,-0.350,0.514,-0.692,0.567
1830,6,-1.435,2.179,0.072,0.867,-0.289,0.711,-0.372,0.514,-0.696,0.565
1830,7,1.092,2.261,0.219,0.881,-0.291,0.713,-0.395,0.498,-0.698,0.561
1830,8,-0.848,2.029,0.331,1.223,-0.392,0.674,-0.412,0.492,-0.693,0.558
1830,9,-1.752,1.039,0.558,1.314,-0.429,0.678,-0.423,0.486,-0.699,0.559
1830,10,0.078,1.501,0.355,1.229,-0.392,0.672,-0.412,0.483,-0.697,0.560
1830,11,2.486,2.578,0.519,1.262,-0.385,0.653,-0.419,0.483,-0.690,0.559
1830,12,3.531,2.144,0.783,1.206,-0.455,0.636,-0.455,0.478,-0.684,0.558
1831,1,-1.083,2.703,0.738,1.271,-0.470,0.645,-0.457,0.474,-0.659,0.560
1831,2,0.198,6.614,0.898,1.239,-0.518,0.646,-0.481,0.471,-0.671,0.558
1831,3,2.314,2.039,1.022,1.264,-0.540,0.635,-0.504,0.473,-0.674,0.559
1831,4,0.562,1.115,0.989,1.243,-0.540,0.649,-0.512,0.484,-0.677,0.552
1831,5,1.088,2.351,0.764,1.349,-0.556,0.643,-0.545,0.487,-0.680,0.548
1831,6,1.732,3.416,0.017,1.289,-0.538,0.649,-0.557,0.499,-0.682,0.542
1831,7,0.547,1.351,0.220,1.361,-0.536,0.653,-0.568,0.496,-0.685,0.543
1831,8,1.079,1.968,-0.015,0.938,-0.444,0.655,-0.597,0.503,-0.684,0.542
1831,9,-0.269,1.524,-0.215,0.865,-0.417,0.641,-0.611,0.501,-0.678,0.536
1831,10,-0.316,1.264,-0.496,0.772,-0.401,0.628,-0.641,0.498,-0.682,0.537
1831,11,-0.220,2.551,-0.722,0.772,-0.455,0.602,-0.653,0.506,-0.681,0.534
1831,12,-5.424,4.299,-1.012,0.859,-0.476,0.595,-0.668,0.502,-0.668,0.533
1832,1,1.346,2.510,-1.156,0.885,-0.431,0.601,-0.672,0.512,-0.654,0.526
1832,2,-2.623,2.558,-1.237,0.869,-0.423,0.604,-0.682,0.527,-0.649,0.525
1832,3,-0.085,2.326,-1.235,0.938,-0.356,0.596,-0.696,0.538,-0.646,0.520
1832,4,-2.809,1.721,-1.231,0.880,-0.380,0.606,-0.727,0.548,-0.639,0.518
1832,5,-1.621,2.033,-1.352,0.818,-0.358,0.618,-0.752,0.561,-0.650,0.514
1832,6,-1.744,2.865,-0.972,0.923,-0.458,0.595,-0.762,0.574,-0.662,0.510
1832,7,-1.190,2.992,-1.008,0.984,-0.395,0.621,-0.788,0.579,-0.668,0.507
1832,8,0.113,2.673,-1.022,0.941,-0.411,0.610,-0.803,0.582,-0.665,0.505
1832,9,-0.243,2.167,-1.168,0.970,-0.432,0.618,-0.812,0.584,-0.675,0.503
1832,10,-0.268,1.327,-0.868,1.102,-0.516,0.603,-0.839,0.585,-0.672,0.503
1832,11,-1.679,2.127,-0.680,1.030,-0.528,0.596,-0.827,0.595,-0.674,0.499
1832,12,-0.865,2.327,-0.790,0.991,-0.523,0.608,-0.834,0.591,-0.672,0.499
1833,1,0.919,2.448,-0.793,0.926,-0.555,0.606,-0.822,0.591,-0.655,0.495
1833,2,-2.797,1.251,-0.937,0.882,-0.565,0.603,-0.880,0.587,-0.655,0.483
1833,3,-1.832,2.385,-1.019,0.851,-0.570,0.609,-0.872,0.600,-0.659,0.476
1833,4,0.784,1.076,-1.119,0.923,-0.564,0.605,-0.892,0.606,-0.656,0.465
1833,5,0.638,1.540,-1.124,0.838,-0.655,0.591,-0.910,0.604,-0.654,0.460
1833,6,-3.056,1.448,-0.890,0.759,-0.777,0.582,-0.913,0.596,-0.659,0.454
1833,7,-1.227,2.028,-1.093,0.723,-0.753,0.591,-0.908,0.589,-0.670,0.450
1833,8,-1.623,1.263,-0.584,0.786,-0.816,0.612,-0.925,0.583,-0.669,0.448
1833,9,-1.220,1.510,-0.436,0.686,-0.908,0.613,-0.928,0.581,-0.665,0.447
1833,10,-1.472,0.880,-0.439,0.684,-0.964,0.628,-0.936,0.582,-0.666,0.446
1833,11,-1.739,2.489,-0.603,0.659,-1.007,0.625,-0.964,0.582,-0.662,0.447
1833,12,1.940,2.606,-0.470,0.641,-1.051,0.615,-0.995,0.584,-0.655,0.451
1834,1,-1.517,1.840,-0.287,0.640,-1.064,0.607,-0.981,0.586,-0.676,0.449
1834,2,3.318,1.678,-0.199,0.669,-1.125,0.614,-0.949,0.596,-0.667,0.450
1834,3,-0.060,1.515,-0.043,0.676,-1.142,0.616,-0.943,0.604,-0.665,0.444
1834,4,0.746,1.810,-0.130,0.701,-1.212,0.626,-0.928,0.601,-0.657,0.442
1834,5,-1.323,1.308,-0.134,0.580,-1.250,0.649,-0.958,0.605,-0.653,0.443
1834,6,-1.468,0.778,-0.519,0.500,-1.175,0.638,-0.977,0.603,-0.655,0.443
1834,7,0.976,1.442,-0.311,0.533,-1.219,0.651,-0.960,0.610,-0.665,0.442
1834,8,-0.575,1.254,-0.762,0.657,-1.196,0.668,-0.950,0.617,-0.668,0.438
1834,9,0.663,1.458,-0.901,0.760,-1.230,0.675,-0.928,0.624,-0.671,0.436
1834,10,-2.520,1.119,-1.130,0.851,-1.224,0.700,-0.923,0.626,-0.671,0.435
1834,11,-1.793,1.153,-1.154,0.845,-1.242,0.695,-0.914,0.630,-0.671,0.435
1834,12,-2.674,1.312,-1.129,0.903,-1.237,0.683,-0.921,0.634,-0.680,0.440
1835,1,0.978,1.883,-1.278,0.929,-1.262,0.675,-0.919,0.647,-0.676,0.439
1835,2,-2.094,3.031,-1.348,0.990,-1.299,0.673,-0.886,0.653,-0.677,0.440
1835,3,-1.722,2.648,-1.574,0.973,-1.309,0.673,-0.882,0.661,-0.682,0.435
1835,4,-2.001,1.595,-1.331,0.932,-1.362,0.684,-0.904,0.658,-0.691,0.435
1835,5,-1.622,1.595,-1.426,0.939,-1.379,0.683,-0.888,0.658,-0.700,0.434
1835,6,-1.159,1.713,-1.519,0.984,-1.378,0.663,-0.879,0.658,-0.712,0.434
1835,7,-0.813,1.509,-1.573,1.018,-1.353,0.682,-0.880,0.661,-0.728,0.432
1835,8,-1.413,1.191,-1.696,0.905,-1.368,0.691,-0.866,0.664,-0.729,0.433
1835,9,-2.061,1.595,-1.819,0.892,-1.316,0.729,-0.856,0.662,-0.734,0.431
1835,10,0.400,1.476,-1.887,0.943,-1.392,0.738,-0.870,0.662,-0.735,0.426
1835,11,-2.934,2.201,-1.876,0.937,-1.436,0.732,-0.904,0.659,-0.729,0.424
1835,12,-3.782,3.176,-1.855,0.901,-1.370,0.732,-0.947,0.657,-0.743,0.432
1836,1,0.328,1.891,-1.809,0.861,-1.345,0.715,-0.915,0.657,-0.740,0.438
1836,2,-3.574,1.519,-1.904,0.968,-1.332,0.719,-0.920,0.653,-0.748,0.429
1836,3,-3.192,1.546,-1.838,0.886,-1.317,0.725,-0.957,0.653,-0.744,0.431
1836,4,-2.828,2.054,-2.248,0.939,-1.332,0.729,-0.989,0.656,-0.735,0.438
1836,5,-1.481,1.665,-2.213,0.885,-1.372,0.731,-1.011,0.652,-0.747,0.438
1836,6,-0.907,1.689,-1.975,0.843,-1.452,0.741,-1.027,0.646,-0.752,0.442
1836,7,-0.260,0.823,-2.111,0.956,-1.425,0.749,-1.041,0.646,-0.758,0.443
1836,8,-2.555,3.080,-1.916,1.099,-1.453,0.763,-1.043,0.647,-0.757,0.442
1836,9,-1.274,1.793,-1.828,1.071,-1.468,0.791,-1.030,0.647,-0.752,0.439
1836,10,-4.514,2.640,-1.793,1.106,-1.455,0.808,-1.052,0.648,-0.758,0.442
1836,11,-2.523,2.936,-1.895,1.035,-1.462,0.809,-1.062,0.651,-0.751,0.444
1836,12,-0.917,1.214,-1.942,0.986,-1.477,0.807,-1.004,0.651,-0.755,0.443
1837,1,-1.309,2.774,-2.143,0.997,-1.490,0.807,-1.009,0.645,-0.751,0.440
1837,2,-1.229,2.935,-2.108,1.024,-1.476,0.816,-0.974,0.629,-0.751,0.436
1837,3,-2.140,1.931,-2.071,1.036,-1.500,0.818,-0.962,0.622,-0.761,0.434
1837,4,-2.408,1.307,-1.981,0.987,-1.466,0.823,-0.939,0.627,-0.781,0.436
1837,5,-2.703,1.957,-1.998,1.006,-1.469,0.833,-0.944,0.621,-0.784,0.440
1837,6,-1.477,1.565,-1.988,1.057,-1.384,0.846,-0.953,0.617,-0.791,0.445
1837,7,-2.670,1.672,-1.678,1.055,-1.443,0.838,-0.952,0.614,-0.790,0.449
1837,8,-2.126,1.323,-1.881,0.943,-1.362,0.825,-0.950,0.610,-0.791,0.448
1837,9,-0.836,1.717,-1.595,1.057,-1.332,0.811,-0.963,0.609,-0.795,0.446
1837,10,-3.435,1.575,-1.712,1.106,-1.291,0.805,-0.972,0.608,-0.802,0.448
1837,11,-2.720,2.130,-1.652,1.092,-1.249,0.804,-0.976,0.599,-0.786,0.447
1837,12,-0.801,2.563,-1.454,1.094,-1.234,0.785,-0.981,0.589,-0.779,0.450
1838,1,2.406,2.690,-1.211,1.043,-1.205,0.780,-0.956,0.582,-0.778,0.450
1838,2,-3.665,1.693,-1.101,1.043,-1.168,0.778,-0.962,0.574,-0.789,0.448
1838,3,1.290,2.554,-1.057,1.089,-1.143,0.765,-0.972,0.572,-0.799,0.449
1838,4,-3.809,2.248,-0.969,1.089,-1.175,0.768,-0.980,0.563,-0.796,0.450
1838,5,-1.976,1.104,-1.089,1.066,-1.154,0.772,-0.996,0.558,-0.796,0.445
1838,6,0.896,1.145,-1.262,1.036,-1.118,0.771,-0.985,0.552,-0.806,0.442
1838,7,0.247,1.363,-1.454,1.027,-1.077,0.762,-0.991,0.543,-0.810,0.442
1838,8,-0.811,1.222,-1.012,1.115,-1.025,0.734,-0.975,0.540,-0.818,0.439
1838,9,-0.313,1.694,-1.196,1.090,-1.006,0.728,-0.971,0.529,-0.829,0.436
1838,10,-2.371,1.904,-0.752,1.124,-1.014,0.731,-0.982,0.522,-0.829,0.438
1838,11,-4.155,2.393,-0.732,1.175,-1.015,0.729,-0.995,0.520,-0.835,0.439
1838,12,-2.880,1.496,-1.007,1.094,-1.003,0.717,-0.998,0.525,-0.834,0.443
1839,1,0.100,2.131,-1.008,1.148,-1.017,0.722,-1.023,0.526,-0.836,0.444
1839,2,1.640,1.876,-0.922,1.174,-0.960,0.727,-1.044,0.526,-0.844,0.447
1839,3,-0.916,2.145,-0.958,1.131,-0.919,0.717,-1.051,0.520,-0.838,0.447
1839,4,1.513,1.390,-0.799,1.124,-0.893,0.704,-1.045,0.524,-0.849,0.444
1839,5,-1.729,1.320,-0.621,1.079,-0.874,0.690,-1.043,0.521,-0.867,0.446
1839,6,-2.406,1.022,-0.178,1.153,-0.833,0.717,-1.042,0.525,-0.867,0.447
1839,7,0.233,1.281,-0.397,1.144,-0.800,0.696,-1.072,0.519,-0.858,0.451
1839,8,0.215,1.569,-0.304,1.043,-0.752,0.646,-1.080,0.515,-0.853,0.451
1839,9,-0.734,1.427,-0.221,1.010,-0.694,0.622,-1.091,0.510,-0.842,0.453
1839,10,-0.473,2.068,-0.312,0.981,-0.655,0.610,-1.088,0.509,-0.842,0.454
1839,11,-2.012,1.011,-0.090,0.980,-0.647,0.614,-1.102,0.513,-0.820,0.460
