Year,Month,monthly_anomaly,monthly_uncertainty,annual_anomaly,annual_uncertainty,five_year_anomaly,five_year_uncertainty,ten_year_anomaly,ten_year_uncertainty,twenty_year_anomaly,twenty_year_uncertainty
1748,12,1.721,1.937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,1,-3.043,1.897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,2,-2.111,1.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,3,-1.163,1.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,4,-0.672,1.471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,6,0.766,1.306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,9,-0.066,1.299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,10,-2.087,1.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,11,-2.368,1.580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,12,-2.737,1.952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,1,-1.886,1.948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,2,-1.607,2.243,-1.129,0.823,NaN,NaN,NaN,NaN,NaN,NaN
1750,3,-0.563,2.497,-1.111,0.828,NaN,NaN,NaN,NaN,NaN,NaN
1750,4,-0.590,1.515,-1.129,0.828,NaN,NaN,NaN,NaN,NaN,NaN
1750,5,-0.869,1.477,-1.313,0.829,NaN,NaN,NaN,NaN,NaN,NaN
1750,6,-1.623,1.326,-1.167,0.838,NaN,NaN,NaN,NaN,NaN,NaN
1750,7,0.598,1.372,-1.135,0.837,NaN,NaN,NaN,NaN,NaN,NaN
1750,8,0.245,1.366,-1.094,0.810,NaN,NaN,NaN,NaN,NaN,NaN
1750,9,0.158,1.904,-1.074,0.782,NaN,NaN,NaN,NaN,NaN,NaN
1750,10,-2.305,1.441,-1.167,0.775,NaN,NaN,NaN,NaN,NaN,NaN
1750,11,-4.573,1.589,-1.182,0.812,NaN,NaN,NaN,NaN,NaN,NaN
