Pays,Annees,percentTotalEmissions,PerCapita,Mesures,Date de mise en place
Afghanistan,1960,0.004497458725833875,0.04605671262990341,0,0
Afghanistan,1961,0.00535585247894622,0.05358883505045581,0,0
Afghanistan,1962,0.007275942150694074,0.07372083083238187,0,0
Afghanistan,1963,0.007075424600047005,0.07416072482986585,0,0
Afghanistan,1964,0.007971758432651379,0.08617361436855277,0,0
Afghanistan,1965,0.009084181695041646,0.1012849124977903,0,0
Afghanistan,1966,0.009362976843211872,0.1073988809254518,0,0
Afghanistan,1967,0.01062025735591539,0.1234095319524389,0,0
Afghanistan,1968,0.009612822582889508,0.1151424975108261,0,0
Afghanistan,1969,0.006926376928982079,0.0865098566374047,0,0
Afghanistan,1970,0.01124648389298472,0.149651474425259,0,0
Afghanistan,1971,0.0122370052325282,0.1652083208973595,0,0
Afghanistan,1972,0.009439144469798166,0.1299955941775296,0,0
Afghanistan,1973,0.009576230465445652,0.1353665875434585,0,0
Afghanistan,1974,0.01121614136499843,0.1545032405673107,0,0
Afghanistan,1975,0.01238332359005889,0.1676123557430121,0,0
Afghanistan,1976,0.01098725575670531,0.153557886047794,0,0
Afghanistan,1977,0.01280212331837095,0.1815221664427203,0,0
Afghanistan,1978,0.01113671570420853,0.1618942316874392,0,0
Afghanistan,1979,0.0112485288957708,0.1670664114742344,0,0
Afghanistan,1980,0.008864274634003222,0.131782918458271,0,0
Afghanistan,1981,0.01025078906068318,0.1506146561640271,0,0
Afghanistan,1982,0.01089169455179568,0.1631039342588659,0,0
Afghanistan,1983,0.01293478539167129,0.2012243045591188,0,0
Afghanistan,1984,0.0140907608424316,0.2319613460576001,0,0
Afghanistan,1985,0.01682125253810799,0.2939569322296948,0,0
Afghanistan,1986,0.01485568078817528,0.2677719042969607,0,0
Afghanistan,1987,0.01434875879862852,0.2692295959493075,0,0
Afghanistan,1988,0.01264747743481432,0.2468232712931351,0,0
Afghanistan,1989,0.01203110458928877,0.2338821945833628,0,0
Afghanistan,1990,0.0116608988120684,0.2106434194188543,0,0
Afghanistan,1991,0.01073960310535841,0.1833635523587946,0,0
Afghanistan,1992,0.00646821552424152,0.09619658106087269,0,0
Afghanistan,1993,0.006179159022314998,0.0850871075160703,0,0
Afghanistan,1994,0.005923422335859885,0.07580649421251581,0,0
Afghanistan,1995,0.00558182457651637,0.06863986215408971,0,0
Afghanistan,1996,0.005140293182697296,0.0624346107290676,0,0
Afghanistan,1997,0.004769814293818926,0.05664234452986461,0,0
Afghanistan,1998,0.004558518984559625,0.0527632181252538,0,0
Afghanistan,1999,0.003537740825675052,0.04072253991949965,0,0
Afghanistan,2000,0.003234933647676052,0.03723478104113132,0,0
Afghanistan,2001,0.003392900039413752,0.03784613570387506,0,0
Afghanistan,2002,0.004346687990355187,0.04737732386993894,0,0
Afghanistan,2003,0.004687567759466917,0.05125558937422529,0,0
Afghanistan,2004,0.003382012157056581,0.03707533124943078,0,0
Afghanistan,2005,0.004733490627795175,0.05174396456388149,0,0
Afghanistan,2006,0.005685962848281755,0.0624275315344817,0,0
Afghanistan,2007,0.007703479399367994,0.08389280566258911,0,0
Afghanistan,2008,0.01370912341990465,0.1517209120924992,0,0
Afghanistan,2009,0.02262777259797644,0.2383985413110486,0,0
Afghanistan,2010,0.02650805946104077,0.2899876298191428,0,0
Afghanistan,2011,0.03699052163821181,0.4064242171132029,0,0
Afghanistan,2012,0.03193040178019837,0.3451487829035534,0,0
Afghanistan,2013,0.0267374233649235,0.2804546410553912,0,0
Afghanistan,2014,0.02482788936981131,0.2537279454603327,0,0
Afghanistan,2015,0.02654321331206988,0.2625557108914169,0,0
Afghanistan,2016,0.02564343158777687,0.2451014223502229,0,0
Algeria,1960,0.06686487309204345,0.5571203043481368,0,0
Algeria,1961,0.06610880597147051,0.5350244024989019,0,0
Algeria,1962,0.05983301364347361,0.4878886331191821,0,0
Algeria,1963,0.05425714201072314,0.4555737218184502,0,0
Algeria,1964,0.05364401635247063,0.462362728513072,0,0
Algeria,1965,0.05942706497956336,0.5256149665939892,0,0
Algeria,1966,0.072233166988403,0.6533888796444322,0,0
Algeria,1967,0.06985094980947776,0.6358883214240032,0,0
Algeria,1968,0.07111761856982028,0.6631611195979854,0,0
Algeria,1969,0.08287396520085563,0.8018950310637629,0,0
Algeria,1970,0.1013909984299565,1.042174395618108,0,0
Algeria,1971,0.1205001811195378,1.255270520600447,0,0
Algeria,1972,0.1745790093205972,1.854611771955889,0,0
Algeria,1973,0.223830997545808,2.43878057203056,0,0
Algeria,1974,0.1865997055771537,1.975758103043373,0,0
Algeria,1975,0.1864971233778697,1.928697622134109,0,0
Algeria,1976,0.2165421881791994,2.292599217326714,0,0
Algeria,1977,0.2243120502899842,2.382530667289089,0,0
Algeria,1978,0.3224164281632663,3.454246225306821,0,0
Algeria,1979,0.2290391947500565,2.446460724755152,0,0
Algeria,1980,0.3349957122100384,3.460646099076225,0,0
Algeria,1981,0.2399556241487833,2.342523350508046,0,0
Algeria,1982,0.2035587381416753,1.920016191345365,0,0
Algeria,1983,0.2698068388893527,2.493859763646595,0,0
Algeria,1984,0.353911726340348,3.267070322775556,0,0
Algeria,1985,0.3488871908348019,3.244824310026141,0,0
Algeria,1986,0.3605752813008566,3.301704728459036,0,0
Algeria,1987,0.3863386465264533,3.53831812558477,0,0
Algeria,1988,0.3702540932419491,3.434399506420263,0,0
Algeria,1989,0.3469312841209837,3.188334948472867,0,0
Algeria,1990,0.3432850856456042,2.98810984286616,0,0
Algeria,1991,0.3481407881837763,2.994245634709885,0,0
